,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
1466,1642277,Furphy,Johnny,johnny-furphy,1610612754,pacers,False,Indiana,Pacers,IND,12.0,G,81.0,200.0,Kansas,Australia,2024.0,2.0,35.0,True,0.0,0.0,0.0,Season,2024,2024
1467,76768,Gabor,Billy,billy-gabor,1610612755,sixers,False,Philadelphia,76ers,PHI,7.0,G,71.0,170.0,Syracuse,USA,1948.0,,,,9.8,1.8,2.0,Career,1949,1954
1468,1629117,Gabriel,Wenyen,wenyen-gabriel,1610612763,grizzlies,False,Memphis,Grizzlies,MEM,35.0,F,81.0,205.0,Kentucky,South Sudan,,,,,4.4,3.4,0.5,Career,2018,2023
1469,2429,Gadzuric,Dan,dan-gadzuric,1610612749,bucks,False,Milwaukee,Bucks,MIL,50.0,C,83.0,240.0,UCLA,Netherlands,2002.0,2.0,33.0,,4.7,4.4,0.4,Career,2002,2011
1470,202070,Gaffney,Tony,tony-gaffney,1610612763,grizzlies,False,Memphis,Grizzlies,MEM,24.0,F,80.0,205.0,Massachusetts,USA,,,,,,,,Career,2009,2009
1471,1629655,Gafford,Daniel,daniel-gafford,1610612742,mavericks,False,Dallas,Mavericks,DAL,21.0,F-C,82.0,265.0,Arkansas,USA,2019.0,2.0,38.0,True,9.8,6.3,1.8,Season,2019,2024
1472,101184,Gai,Deng,deng-gai,1610612755,sixers,False,Philadelphia,76ers,PHI,35.0,F,81.0,250.0,Fairfield,South Sudan,,,,,0.0,0.0,0.0,Career,2005,2005
1473,76769,Gainer,Elmer R.,elmer-r-gainer,1610610037,,True,Waterloo,Hawks,WAT,,,,,DePaul,USA,1947.0,,,,1.5,,0.5,Career,1947,1949
1474,76770,Gaines,Corey,corey-gaines,1610612751,nets,False,Brooklyn,Nets,BKN,5.0,G,75.0,195.0,Loyola-Marymount,USA,1988.0,3.0,65.0,,3.1,0.9,3.1,Career,1988,1994
1475,2558,Gaines,Reece,reece-gaines,1610612753,magic,False,Orlando,Magic,ORL,34.0,G,78.0,205.0,Louisville,USA,2003.0,1.0,15.0,,1.7,0.7,0.7,Career,2003,2005
1476,202178,Gaines,Sundiata,sundiata-gaines,1610612751,nets,False,Brooklyn,Nets,BKN,1.0,G,73.0,200.0,Georgia,USA,,,,,4.5,1.5,1.8,Career,2009,2011
1477,76771,Gale,Mike,mike-gale,1610612759,spurs,False,San Antonio,Spurs,SAS,12.0,G,76.0,185.0,Elizabeth City State,USA,1971.0,3.0,47.0,,7.4,2.5,4.3,Career,1976,1981
1478,76772,Gallagher,Chad,chad-gallagher,1610612762,jazz,False,Utah,Jazz,UTA,55.0,C,82.0,255.0,Creighton,USA,1991.0,2.0,32.0,,3.0,0.0,0.0,Career,1993,1993
1479,76773,Gallatin,Harry,harry-gallatin,1610612752,knicks,False,New York,Knicks,NYK,10.0,F,78.0,210.0,Truman State,USA,1948.0,,,,13.0,11.9,1.8,Career,1948,1957
1480,201568,Gallinari,Danilo,danilo-gallinari,1610612749,bucks,False,Milwaukee,Bucks,MIL,12.0,F,82.0,236.0,Olimpia Milano,Italy,2008.0,1.0,6.0,,14.9,4.7,1.9,Career,2008,2023
1481,1641945,Galloway,Jaylin,jaylin-galloway,1610612749,bucks,False,Milwaukee,Bucks,MIL,,F,78.0,190.0,Sydney Kings,Australia,,,,,,,,Career,2023,2023
1482,204038,Galloway,Langston,langston-galloway,1610612754,pacers,False,Indiana,Pacers,IND,2.0,G,73.0,200.0,St. Joseph's (PA),USA,,,,,8.1,2.4,1.6,Career,2014,2021
1483,76774,Gambee,Dave,dave-gambee,1610612755,sixers,False,Philadelphia,76ers,PHI,20.0,F,78.0,215.0,Oregon State,USA,1958.0,1.0,6.0,,10.6,5.2,1.0,Career,1958,1969
1484,333,Gamble,Kevin,kevin-gamble,1610612738,celtics,False,Boston,Celtics,BOS,40.0,G-F,78.0,225.0,Iowa,USA,1987.0,3.0,63.0,,9.5,2.2,2.0,Career,1987,1996
1485,76776,Gantt,Bob,bob-gantt,1610610036,,True,Washington,Capitols,WAS,,F,76.0,205.0,Duke,USA,,,,,3.1,,0.2,Career,1946,1946
1486,200816,Garbajosa,Jorge,jorge-garbajosa,1610612761,raptors,False,Toronto,Raptors,TOR,15.0,F,81.0,245.0,Malaga,Spain,,,,,8.0,4.7,1.7,Career,2006,2007
1487,2092,Garces,Ruben,ruben-garces,1610612756,suns,False,Phoenix,Suns,PHX,,F,,,Providence,USA,,,,,1.2,2.2,0.4,Career,2000,2000
1488,2682,Garcia,Alex,alex-garcia,1610612740,pelicans,False,New Orleans,Pelicans,NOP,10.0,G-F,75.0,195.0,Ribeirao Preto,Brazil,,,,,4.7,1.5,1.8,Career,2003,2004
1489,101128,Garcia,Francisco,francisco-garcia,1610612758,kings,False,Sacramento,Kings,SAC,32.0,G-F,79.0,195.0,Louisville,Dominican Republic,2005.0,1.0,23.0,,7.9,2.6,1.4,Career,2005,2014
1490,76778,Gardner,Earl,earl-gardner,1610612747,lakers,False,Los Angeles,Lakers,LAL,14.0,F,75.0,195.0,DePauw,USA,1948.0,,,,1.8,,0.4,Career,1948,1948
1491,201242,Gardner,Thomas,thomas-gardner,1610612737,hawks,False,Atlanta,Hawks,ATL,3.0,G,77.0,225.0,Missouri,USA,,,,,2.3,0.6,0.2,Career,2007,2008
1492,76779,Gardner,Vern,vern-gardner,1610612744,warriors,False,Golden State,Warriors,GSW,12.0,C,77.0,200.0,Utah,USA,1949.0,1.0,5.0,,8.9,4.0,1.6,Career,1949,1951
1493,76780,Garfinkel,Jack,jack-garfinkel,1610612738,celtics,False,Boston,Celtics,BOS,21.0,G,72.0,190.0,St. John's (NY),USA,,,,,5.2,,1.5,Career,1946,1948
1494,1627868,Garino,Patricio,patricio-garino,1610612753,magic,False,Orlando,Magic,ORL,29.0,G-F,78.0,203.0,George Washington,Argentina,,,,,0.0,1.4,0.0,Career,2016,2016
1495,1629636,Garland,Darius,darius-garland,1610612739,cavaliers,False,Cleveland,Cavaliers,CLE,10.0,G,73.0,192.0,Vanderbilt,USA,2019.0,1.0,5.0,True,19.3,2.0,5.0,Season,2019,2024
1496,76781,Garland,Gary,gary-garland,1610612743,nuggets,False,Denver,Nuggets,DEN,24.0,G,76.0,180.0,DePaul,USA,1979.0,2.0,30.0,,4.3,1.8,1.9,Career,1979,1979
1497,76782,Garland,Winston,winston-garland,1610612744,warriors,False,Golden State,Warriors,GSW,22.0,G,74.0,170.0,Missouri State,USA,1987.0,2.0,40.0,,9.4,2.8,4.7,Career,1987,1994
1498,76783,Garmaker,Dick,dick-garmaker,1610612747,lakers,False,Los Angeles,Lakers,LAL,17.0,G,75.0,200.0,Minnesota,USA,1955.0,,,,13.3,4.2,2.6,Career,1955,1960
1499,1612,Garner,Chris,chris-garner,1610612761,raptors,False,Toronto,Raptors,TOR,2.0,G,70.0,156.0,Memphis,USA,,,,,1.6,0.8,1.4,Career,1997,2000
1500,76785,Garnett,Bill,bill-garnett,1610612742,mavericks,False,Dallas,Mavericks,DAL,20.0,F,81.0,225.0,Wyoming,USA,1982.0,1.0,4.0,,5.5,4.3,1.3,Career,1982,1985
1501,708,Garnett,Kevin,kevin-garnett,1610612750,timberwolves,False,Minnesota,Timberwolves,MIN,21.0,F,83.0,240.0,Farragut Academy HS (IL),USA,1995.0,1.0,5.0,,17.8,10.0,3.7,Career,1995,2015
1502,1831,Garnett,Marlon,marlon-garnett,1610612738,celtics,False,Boston,Celtics,BOS,20.0,G,74.0,186.0,Santa Clara,USA,,,,,2.1,0.9,0.8,Career,1998,1998
1503,1628656,Garrett,Billy,billy-garrett,1610612752,knicks,False,New York,Knicks,NYK,3.0,G-F,78.0,215.0,DePaul,USA,,,,,6.5,0.8,1.8,Career,2018,2018
1504,76786,Garrett,Calvin,calvin-garrett,1610612745,rockets,False,Houston,Rockets,HOU,0.0,F,79.0,190.0,Oral Roberts,USA,1979.0,3.0,47.0,,5.2,2.6,1.5,Career,1980,1983
1505,1051,Garrett,Dean,dean-garrett,1610612750,timberwolves,False,Minnesota,Timberwolves,MIN,22.0,C,83.0,250.0,Indiana,USA,1988.0,2.0,38.0,,4.8,5.0,0.6,Career,1996,2001
1506,203197,Garrett,Diante,diante-garrett,1610612762,jazz,False,Utah,Jazz,UTA,8.0,G,76.0,190.0,Iowa State,USA,,,,,3.2,1.2,1.7,Career,2012,2013
1507,76788,Garrett,Eldo,eldo-garrett,1610612746,clippers,False,LA,Clippers,LAC,14.0,G,75.0,185.0,Southern Illinois,USA,1969.0,2.0,27.0,,10.3,3.0,2.5,Career,1969,1973
1508,1630585,Garrett,Marcus,marcus-garrett,1610612748,heat,False,Miami,Heat,MIA,0.0,G,77.0,205.0,Kansas,USA,,,,,1.1,1.9,0.6,Career,2021,2021
1509,76789,Garrett,Rowland,rowland-garrett,1610612741,bulls,False,Chicago,Bulls,CHI,24.0,F,78.0,210.0,Florida State,USA,1972.0,5.0,78.0,,5.1,2.3,0.4,Career,1972,1976
1510,76790,Garrick,Tom,tom-garrick,1610612746,clippers,False,LA,Clippers,LAC,5.0,G,74.0,185.0,Rhode Island,USA,1988.0,2.0,45.0,,5.4,2.0,3.4,Career,1988,1991
1511,76791,Garris,John,john-garris,1610612739,cavaliers,False,Cleveland,Cavaliers,CLE,55.0,F,80.0,205.0,Boston College,USA,1983.0,2.0,27.0,,4.0,2.3,0.3,Career,1983,1983
1512,1619,Garris,Kiwane,kiwane-garris,1610612743,nuggets,False,Denver,Nuggets,DEN,3.0,G,74.0,183.0,Illinois,USA,,,,,2.3,0.6,1.0,Career,1997,2002
1513,1727,Garrity,Pat,pat-garrity,1610612753,magic,False,Orlando,Magic,ORL,8.0,F,81.0,238.0,Notre Dame,USA,1998.0,1.0,19.0,,7.3,2.6,0.8,Career,1998,2007
1514,1630586,Garuba,Usman,usman-garuba,1610612744,warriors,False,Golden State,Warriors,GSW,12.0,F,80.0,229.0,Real Madrid,Spain,2021.0,1.0,23.0,,2.6,3.8,0.8,Career,2021,2023
1515,76793,Garvin,Jim,jim-garvin,1610612746,clippers,False,LA,Clippers,LAC,30.0,F,79.0,200.0,Boston University,USA,1973.0,17.0,204.0,,0.3,0.8,0.0,Career,1973,1973
1516,1630568,Garza,Luka,luka-garza,1610612750,timberwolves,False,Minnesota,Timberwolves,MIN,55.0,C,82.0,243.0,Iowa,USA,2021.0,2.0,52.0,True,5.5,2.3,0.5,Career,2021,2024
1517,201188,Gasol,Marc,marc-gasol,1610612763,grizzlies,False,Memphis,Grizzlies,MEM,14.0,C,83.0,255.0,FC Barcelona,Spain,2007.0,2.0,48.0,,14.0,7.4,3.4,Career,2008,2020
1518,2200,Gasol,Pau,pau-gasol,1610612747,lakers,False,Los Angeles,Lakers,LAL,16.0,C-F,84.0,250.0,FC Barcelona,Spain,2001.0,1.0,3.0,,17.0,9.2,3.2,Career,2001,2018
1519,76794,Gates,Frank,frank-gates,1610610023,,True,Anderson,Packers,AND,,G,72.0,160.0,Sam Houston State,USA,,,,,4.5,,1.4,Career,1949,1949
1520,1629232,Gates,Kaiser,kaiser-gates,1610612740,pelicans,False,New Orleans,Pelicans,NOP,12.0,F,79.0,225.0,Xavier,USA,2018.0,,,,0.0,1.0,0.0,Career,2023,2023
1521,423,Gatling,Chris,chris-gatling,1610612744,warriors,False,Golden State,Warriors,GSW,32.0,C-F,82.0,230.0,Old Dominion,USA,1991.0,1.0,16.0,,10.3,5.3,0.7,Career,1991,2001
1522,930,Gattison,Kenny,kenny-gattison,1610612766,hornets,False,Charlotte,Hornets,CHA,44.0,F,80.0,225.0,Old Dominion,USA,1986.0,3.0,55.0,,7.9,4.7,0.9,Career,1986,1995
1523,200752,Gay,Rudy,rudy-gay,1610612744,warriors,False,Golden State,Warriors,GSW,22.0,F-G,80.0,250.0,Connecticut,USA,2006.0,1.0,8.0,,15.8,5.6,2.0,Career,2006,2022
1524,76797,Gayda,Ed,ed-gayda,1610612737,hawks,False,Atlanta,Hawks,ATL,10.0,G,76.0,210.0,Washington State,USA,1950.0,2.0,,,3.9,2.7,0.9,Career,1950,1950
1525,1845,Gaze,Andrew,andrew-gaze,1610612759,spurs,False,San Antonio,Spurs,SAS,4.0,F,79.0,205.0,Seton Hall,USA,,,,,1.7,0.5,0.4,Career,1993,1998
1526,1627771,Gbinije,Michael,michael-gbinije,1610612765,pistons,False,Detroit,Pistons,DET,9.0,G-F,79.0,200.0,Syracuse,USA,2016.0,2.0,49.0,,0.4,0.3,0.2,Career,2016,2016
1527,1002,Geary,Reggie,reggie-geary,1610612759,spurs,False,San Antonio,Spurs,SAS,4.0,G,74.0,187.0,Arizona,USA,1996.0,2.0,56.0,,2.1,0.8,1.1,Career,1996,1997
1528,202087,Gee,Alonzo,alonzo-gee,1610612739,cavaliers,False,Cleveland,Cavaliers,CLE,15.0,F,78.0,225.0,Alabama,USA,,,,,6.6,3.3,1.1,Career,2009,2016
1529,761,Geiger,Matt,matt-geiger,1610612766,hornets,False,Charlotte,Hornets,CHA,52.0,C,85.0,248.0,Georgia Tech,USA,1992.0,2.0,42.0,,9.2,5.7,0.7,Career,1992,2001
1530,101153,Gelabale,Mickael,mickael-gelabale,1610612760,thunder,False,Oklahoma City,Thunder,OKC,15.0,F,79.0,215.0,Real Madrid,France,2005.0,2.0,48.0,,4.6,2.3,0.8,Career,2006,2012
1531,1904,George,Devean,devean-george,1610612747,lakers,False,Los Angeles,Lakers,LAL,19.0,F,80.0,235.0,Augsburg,USA,1999.0,1.0,23.0,,5.6,3.1,0.9,Career,1999,2009
1532,76800,George,Jack,jack-george,1610612744,warriors,False,Golden State,Warriors,GSW,5.0,G,75.0,190.0,La Salle,USA,1953.0,,,,10.2,4.2,4.3,Career,1953,1960
1533,1641718,George,Keyonte,keyonte-george,1610612762,jazz,False,Utah,Jazz,UTA,3.0,G,76.0,185.0,Baylor,USA,2023.0,1.0,16.0,True,12.8,3.3,6.5,Season,2023,2024
